OBJECTID,FEATURETYPE,DESCRIPTION,CLASS,FID,NAME,STRUCTURETYPE,AIRPORTCODE,ADDRESS,SUBURB,STATE,SPATIALCONFIDENCE,REVISED,COMMENT,LATITUDE,LONGITUDE
62,Terminal,A building located at an airport that serves air travellers and/or air freight,Domestic,62,Sydney Metro Bankstown,,BWU,,Bankstown Aerodrome,New South Wales,3,20120919,,-33.9196719999999,150.99104
63,Terminal,A building located at an airport that serves air travellers and/or air freight,Domestic,63,Cooma-Snowy Mountains,,OOM,,Coolringdon,New South Wales,5,20120919,,-36.292907,148.970827
64,Terminal,A building located at an airport that serves air travellers and/or air freight,Domestic,64,Grafton,,GFN,,Glenugie,New South Wales,5,20120919,,-29.7595669999999,153.028602
65,Terminal,A building located at an airport that serves air travellers and/or air freight,Domestic,65,Lismore,,LSY,,Loftville,New South Wales,5,20120919,,-28.836587,153.263247
66,Terminal,A building located at an airport that serves air travellers and/or air freight,Domestic,66,Merimbula,,MIM,,Merimbula,New South Wales,3,20120919,,-36.9096259999999,149.902139
67,Terminal,A building located at an airport that serves air travellers and/or air freight,Domestic,67,Port Macquarie,,PQQ,,Port Macquarie,New South Wales,5,20120919,,-31.4313089999999,152.867267
68,Terminal,A building located at an airport that serves air travellers and/or air freight,International,68,Sydney (Kingsford Smith) - Terminal 1,,SYD,,Mascot,New South Wales,5,20120919,,-33.9364879999999,151.165824
69,Terminal,A building located at an airport that serves air travellers and/or air freight,Domestic,69,Sydney (Kingsford Smith) - Terminal 2,,SYD,,Mascot,New South Wales,5,20120919,,-33.934156,151.179342
70,Terminal,A building located at an airport that serves air travellers and/or air freight,Domestic,70,Sydney (Kingsford Smith) - Terminal 3,,SYD,,Mascot,New South Wales,5,20120919,,-33.932287,151.178977
71,Terminal,A building located at an airport that serves air travellers and/or air freight,Domestic,71,Tamworth,,TMW,,Westdale,New South Wales,5,20120919,,-31.0842989999999,150.848465
72,Terminal,A building located at an airport that serves air travellers and/or air freight,Domestic,72,Taree,,TRO,,Cundletown,New South Wales,5,20120919,,-31.8903994409999,152.509303315
73,Terminal,A building located at an airport that serves air travellers and/or air freight,Domestic,73,Williamtown,,NTL,,Williamtown,New South Wales,5,20120919,,-32.804009,151.83996
74,Terminal,A building located at an airport that serves air travellers and/or air freight,Domestic,74,Esperance,,EPR,,Gibson,Western Australia,5,20120919,,-33.682722,121.830437
75,Terminal,A building located at an airport that serves air travellers and/or air freight,Domestic,75,Narrabri,,NAA,,Narrabri,New South Wales,5,20120919,,-30.318748,149.82877
76,Terminal,A building located at an airport that serves air travellers and/or air freight,Domestic,76,Ravensthorpe,,RVT,,Hopetoun,Western Australia,5,20120919,,-33.792853,120.212397
77,Terminal,A building located at an airport that serves air travellers and/or air freight,Domestic,77,Paraburdoo,,PBO,,Paraburdoo,Western Australia,5,20120919,,-23.1737019999999,117.747908
78,Terminal,A building located at an airport that serves air travellers and/or air freight,Domestic,78,Learmonth,,LEA,,Learmonth,Western Australia,5,20120919,,-22.23973,114.094002
79,Terminal,A building located at an airport that serves air travellers and/or air freight,Domestic,79,Port Augusta,,PUG,,Port Augusta West,South Australia,2,20120919,,-32.5085116769999,137.718740646
80,Terminal,A building located at an airport that serves air travellers and/or air freight,Domestic,80,Kingscote,,KGC,,Cygnet River,South Australia,5,20120919,,-35.7094529999999,137.523358
81,Terminal,A building located at an airport that serves air travellers and/or air freight,Domestic,81,Cobar,,CAZ,,Cobar,New South Wales,4,20120919,,-31.537547,145.79756
82,Terminal,A building located at an airport that serves air travellers and/or air freight,Domestic,82,Balranald,,BZD,,Balranald,New South Wales,5,20120919,,-34.6241209999999,143.575685
83,Terminal,A building located at an airport that serves air travellers and/or air freight,Domestic,83,Portland,,PTJ,,Cashmore,Victoria,3,20120919,,-38.316525,141.47055
84,Terminal,A building located at an airport that serves air travellers and/or air freight,Domestic,84,Shepparton,,SHT,,Kialla,Victoria,5,20120919,,-36.426663,145.390559
85,Terminal,A building located at an airport that serves air travellers and/or air freight,Domestic,85,Warrnambool,,WMB,,Yarpturk,Victoria,5,20120919,,-38.2994945039999,142.44950079
86,Terminal,A building located at an airport that serves air travellers and/or air freight,Domestic,86,Hobart - Terminal 2,,HBA,,Cambridge,Tasmania,5,20120919,,-42.836939,147.505531
87,Terminal,A building located at an airport that serves air travellers and/or air freight,International,87,Hobart - Terminal 1,,HBA,,Cambridge,Tasmania,5,20120919,,-42.8366159999999,147.504721
88,Terminal,A building located at an airport that serves air travellers and/or air freight,Domestic,88,Launceston,,LST,,Western Junction,Tasmania,5,20120919,,-41.543393,147.205617
89,Terminal,A building located at an airport that serves air travellers and/or air freight,Domestic,89,Devonport,,DPO,,Wesley Vale,Tasmania,5,20120919,,-41.1718539999999,146.427648
90,Terminal,A building located at an airport that serves air travellers and/or air freight,Domestic,90,Tennant Creek,,TCA,,Tennant Creek,Northern Territory,5,20120919,,-19.6410569999999,134.184619
91,Terminal,A building located at an airport that serves air travellers and/or air freight,Domestic,91,Alice Springs,,ASP,,Connellan,Northern Territory,5,20120919,,-23.801906,133.903062
92,Terminal,A building located at an airport that serves air travellers and/or air freight,Domestic,92,Ayers Rock,,AYQ,,Yulara,Northern Territory,5,20120919,,-25.190777,130.976729
93,Terminal,A building located at an airport that serves air travellers and/or air freight,Domestic,93,Thangool,,THG,,Thangool,Queensland,5,20120919,,-24.4916689999999,150.573568
94,Terminal,A building located at an airport that serves air travellers and/or air freight,Domestic,94,Broken Hill,,BHQ,,Broken Hill,New South Wales,5,20120919,,-31.998859,141.470277
95,Terminal,A building located at an airport that serves air travellers and/or air freight,Domestic,95,King Island,,KNS,,Loorana,Tasmania,5,20120919,,-39.8796359999999,143.881891
96,Terminal,A building located at an airport that serves air travellers and/or air freight,Domestic,96,Burnie,,BWT,,Wynyard,Tasmania,5,20120919,,-40.993506,145.725642
97,Terminal,A building located at an airport that serves air travellers and/or air freight,Domestic,97,Horn Island,,HID,,Horn,Queensland,3,20120919,,-10.591012,142.294546
98,Terminal,A building located at an airport that serves air travellers and/or air freight,Domestic,98,Gove,,GOV,,East Arnhem,Northern Territory,5,20120919,,-12.269843,136.822422
99,Terminal,A building located at an airport that serves air travellers and/or air freight,Domestic,99,Barcaldine,,BCI,,Barcaldine,Queensland,5,20120919,,-23.5612829999999,145.300646
100,Terminal,A building located at an airport that serves air travellers and/or air freight,Domestic,100,Blackall ,,BKQ,,Blackall,Queensland,5,20120919,,-24.42842,145.433801
101,Terminal,A building located at an airport that serves air travellers and/or air freight,Domestic,101,Emerald,,EMD,,Emerald,Queensland,5,20120919,,-23.5688549999999,148.174571
102,Terminal,A building located at an airport that serves air travellers and/or air freight,Domestic,102,Hamilton Island,,HTI,,Whitsundays,Queensland,5,20120919,,-20.3518,148.948958
103,Terminal,A building located at an airport that serves air travellers and/or air freight,Domestic,103,Hughenden,,HGD,,Hughenden,Queensland,5,20120919,,-20.81663,144.227153
104,Terminal,A building located at an airport that serves air travellers and/or air freight,Domestic,104,Longreach,,LRE,,Longreach,Queensland,5,20120919,,-23.4392799999999,144.271581
105,Terminal,A building located at an airport that serves air travellers and/or air freight,Domestic,105,Coober Pedy,,CPD,,Coober Pedy,South Australia,5,20120919,,-29.035377,134.72313
106,Terminal,A building located at an airport that serves air travellers and/or air freight,Domestic,106,Weipa,,WEI,,Weipa Airport,Queensland,4,20120919,,-12.6806999999999,141.924093
107,Terminal,A building located at an airport that serves air travellers and/or air freight,Domestic,107,Richmond,,RCM,,Richmond,Queensland,5,20120919,,-20.7000899999999,143.117352
108,Terminal,A building located at an airport that serves air travellers and/or air freight,Domestic,108,Mount Isa,,ISA,,Kalkadoon,Queensland,5,20120919,,-20.667787,139.491456
109,Terminal,A building located at an airport that serves air travellers and/or air freight,Domestic,109,Julia Creek,,JCK,,Julia Creek,Queensland,3,20120919,,-20.6672879999999,141.72253
110,Terminal,A building located at an airport that serves air travellers and/or air freight,Domestic and International,110,Cocos (Keeling) Island,,CCK,,Cocos (Keeling) Island,Western Australia,4,20120919,,-12.187989,96.8291990000001
111,Terminal,A building located at an airport that serves air travellers and/or air freight,Domestic and International,111,Christmas Island,,XCH,,Christmas Island,Western Australia,5,20120919,,-10.4510339999999,105.688702
112,Terminal,A building located at an airport that serves air travellers and/or air freight,Domestic and International,112,Norfolk Island,,NLK,,Norfolk Island,New South Wales,5,20120919,,-29.035207,167.943487
113,Terminal,A building located at an airport that serves air travellers and/or air freight,Domestic,113,Lord Howe Island,,LDH,,Lord Howe Island,New South Wales,5,20120919,,-31.540669,159.078161
